node_id,tipo,titulo,canal,categoria,vistas,n_autores,n_comentarios_video,channel_id,video_url,comunidad,degree,strength,betweenness,closeness,articulation,component_increase,nombre,n_videos,n_comentarios_autor,author_handle,distinct_channels,distinct_videos,comment_count,recurrent,extra_comments
UCtiHFjFu7d5v2XxHnKFUYig,autor,,,,,,,,,5,1,1,0.0,0.026448979591836733,False,0,@Paul-gf7ec,1.0,1.0,/@Paul-gf7ec,1,1,1,False,0
UCtowGNY2lnlg6O2CkwDgkLg,autor,,,,,,,,,9,1,1,0.0,0.0065306122448979586,False,0,@taniagabrielacelis8434,1.0,1.0,/@taniagabrielacelis8434,1,1,1,False,0
UCtsxPYw8VUsH_FfnKg-0lmw,autor,,,,,,,,,2,1,1,0.0,0.1326122448979592,False,0,@AlejandroPérez-b6r,1.0,1.0,/@AlejandroP%C3%A9rez-b6r,1,1,1,False,0
UCu8_3-Wg-YzNyvHYQDEscfw,autor,,,,,,,,,1,1,1,0.0,0.17422779922779924,False,0,@RolandoCastroPérez-d7y,1.0,1.0,/@RolandoCastroP%C3%A9rez-d7y,1,1,1,False,0
UCuP4UK33HKtJE_S39ksmaTw,autor,,,,,,,,,4,1,1,0.0,0.170640756302521,False,0,@herbertaguilar1387,1.0,1.0,/@herbertaguilar1387,1,1,1,False,0
UCuXmOjxC-htcprLgeVXz6Tg,autor,,,,,,,,,1,1,1,0.0,0.17422779922779924,False,0,@jorgeaguilar-bq3uj,1.0,1.0,/@jorgeaguilar-bq3uj,1,1,1,False,0
UCueV9cTyTDwgQSec1x2dYgA,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@fredydomingo7062,1.0,1.0,/@fredydomingo7062,1,1,1,False,0
UCujPF2nBgsTD62nWE3lcpIg,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@victorarturoruanobautista7588,1.0,1.0,/@victorarturoruanobautista7588,1,1,1,False,0
UCusjriFsDHEc2AOjqk-p5ig,autor,,,,,,,,,4,1,1,0.0,0.170640756302521,False,0,@pablobarrios7931,1.0,1.0,/@pablobarrios7931,1,1,1,False,0
UCut6b9S98nv84cVX89PmKzA,autor,,,,,,,,,0,1,2,0.0,0.22186561048893746,False,0,@yeniferaguirre4498,1.0,2.0,/@yeniferaguirre4498,1,1,2,True,1
UCvApqeCbLod-wejtT4CcVuA,autor,,,,,,,,,0,1,1,0.0,0.22186561048893746,False,0,@davidgaher9550,1.0,1.0,/@davidgaher9550,1,1,1,False,0
UCvDwJBBY1mHK70aTEYl6rsA,autor,,,,,,,,,2,1,1,0.0,0.1326122448979592,False,0,@cristianescobedo8296,1.0,1.0,/@cristianescobedo8296,1,1,1,False,0
UCvl1tzQeBeGy6efPTRJXSCw,autor,,,,,,,,,6,1,1,0.0,0.10232426303854876,False,0,@RaulPerez-cw2vi,1.0,1.0,/@RaulPerez-cw2vi,1,1,1,False,0
UCwCfs-2zbD5k0lG-UVg_JBw,autor,,,,,,,,,6,1,1,0.0,0.10232426303854876,False,0,@JessicaHuaz-96,1.0,1.0,/@JessicaHuaz-96,1,1,1,False,0
