network,nodes,edges,density,mean_degree,components,largest_component,isolates,transitivity,average_clustering,largest_component_mean_distance,largest_component_diameter
bipartite,351,343,0.05437539632213063,1.9544159544159545,10,286,0,0.0,0.0,4.715249662618084,12
authors,332,10732,0.19531904051250318,64.65060240963855,10,276,4,0.9840254741148836,0.9720487679984028,2.356495388669302,6
videos,19,11,0.06432748538011696,1.1578947368421053,10,10,9,0.3157894736842105,0.14912280701754385,2.488888888888889,5
