video_id,title,channel_id,channel_name,view_count,observed_comments,in_observed_network
DC1_qrLUvHI,Municipalidad de Guatemala 26/08/2026,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,49,0,False
DMAKF8n0XJs,Guatemala TV • ID (2024-2026),UC7G_DpDtzHv0wbGJvvFCrNg,Mdpls²,367,0,False
DX5eT-hVU8Q,250 años Ciudad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,491,0,False
DkxSkQipYwo,PRESIDENTE BERNARDO ARÉVALO PARTICIPA EN EL ACTO CONMEMORATIVO DEL DÍA DEL EJÉRCITO,UCgItjn_ZWFWcv1MlpKIkqgQ,IDocumenta,66,0,False
EGfy1BxGLIk,Colabore con las medidas de la PMT,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,1437,0,False
ELhvo8YnYnI,Insivumeh prevé lluvias fuertes por dos ondas del este,UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,5182,0,False
EQDcEgFpXCk,Guatemala: Gobierno refuerza lucha contra las pandillas en medio de crisis de seguridad,UCUdOoVWuWmgo1wByzcsyKDQ,FRANCE 24 Español,5459,0,False
EZfm-05qtWo,Municipalidad de Guatemala prepara plan de actividades en Semana Santa 2023,UCFu4dCls6GPdTvgIeE9wjOA,Cucurucho en Guatemala,128,0,False
F72Rdq5crG4,Cambios en el Ministerio de Comunicaciones: Salen Lizzette Benítez y Adrián Zapata Alamilla,UC-GLagjBhWAZ3IOWFgzqIAw,Canal Antigua,1441,0,False
FEc1BCuBiDg,¡Estamos con ustedes!,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,1562,0,False
FQP4JTo9ShA,Rafael Carrera y el nacimiento de Guatemala,UCvegRo82EipXUzAHQXZmr4A,MundoHistoria,1420,0,False
FU5zLTb4inc,#EnVivoDCA | Conferencia de prensa del Gobierno de Guatemala,UCaivrAhro2BpsJdrPe-IyRg,Diario de Centro América,549,0,False
Fapc1-8m5Zc,Municipalidad de Guatemala 21/11/2025,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,282,0,False
